Name,Year,Search_URL
Satya Nadella,2019,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2019,cd_max:12/31/2019"
Satya Nadella,2019,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2019,cd_max:12/31/2019"
Jensen Huang,2010,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2010"
Jensen Huang,2011,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2011,cd_max:12/31/2011"
Jensen Huang,2012,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2012,cd_max:12/31/2012"
Jensen Huang,2013,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2013,cd_max:12/31/2013"
Jensen Huang,2014,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2014,cd_max:12/31/2014"
Jensen Huang,2015,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2015,cd_max:12/31/2015"
Jensen Huang,2016,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2016,cd_max:12/31/2016"
Jensen Huang,2017,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2017,cd_max:12/31/2017"
Jensen Huang,2018,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2018,cd_max:12/31/2018"
Jensen Huang,2019,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2019,cd_max:12/31/2019"
Jensen Huang,2011,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2011,cd_max:12/31/2011"
Jensen Huang,2012,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2012,cd_max:12/31/2012"
Jensen Huang,2013,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2013,cd_max:12/31/2013"
Jensen Huang,2014,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2014,cd_max:12/31/2014"
Jensen Huang,2015,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2015,cd_max:12/31/2015"
Jensen Huang,2016,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2016,cd_max:12/31/2016"
Jensen Huang,2017,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2017,cd_max:12/31/2017"
Jensen Huang,2018,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2018,cd_max:12/31/2018"
Jensen Huang,2019,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2019,cd_max:12/31/2019"
Jensen Huang,2012,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2012,cd_max:12/31/2012"
Jensen Huang,2013,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2013,cd_max:12/31/2013"
Jensen Huang,2014,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2014,cd_max:12/31/2014"
Jensen Huang,2015,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2015,cd_max:12/31/2015"
Jensen Huang,2016,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2016,cd_max:12/31/2016"
Jensen Huang,2017,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2017,cd_max:12/31/2017"
Jensen Huang,2018,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2018,cd_max:12/31/2018"
Jensen Huang,2019,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2019,cd_max:12/31/2019"
Jensen Huang,2013,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2013,cd_max:12/31/2013"
Jensen Huang,2014,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2014,cd_max:12/31/2014"
Jensen Huang,2015,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2015,cd_max:12/31/2015"
Jensen Huang,2016,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2016,cd_max:12/31/2016"
Jensen Huang,2017,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2017,cd_max:12/31/2017"
Jensen Huang,2018,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2018,cd_max:12/31/2018"
Jensen Huang,2019,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2019,cd_max:12/31/2019"
Jensen Huang,2014,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2014,cd_max:12/31/2014"
Jensen Huang,2015,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2015,cd_max:12/31/2015"
Jensen Huang,2016,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2016,cd_max:12/31/2016"
