Ticker,CEO,Year,Age,dominant_gender,dominant_race,dominant_emotion,Woman,Man,asian,indian,black,white,middle eastern,latino hispanic,angry,disgust,fear,happy,sad,surprise,neutral
ORCL,Safra Catz & Mark Hurd,2018,30,Man,white,sad,0.08176897,99.91823,0.03434055,0.06015952,0.0009457431,90.933334,4.977587,3.993637,0.024044432,1.10325594e-13,0.29899633,0.07447542,73.371956,1.0726966,25.157827
ORCL,Safra Catz & Mark Hurd,2019,30,Man,white,surprise,0.09012218,99.90988,0.7374467,0.14459458,0.013364685,92.368286,2.5325193,4.2037926,0.09995834,4.3932363e-05,0.59174037,40.273018,0.030341819,58.94745,0.057450254
CRM,Marc Benioff,2010,29,Man,white,happy,33.689804,66.31019,27.002659,1.9560498,1.2936274,45.540264,9.565041,14.642364,0.01204949,3.8011976e-15,5.8021237e-06,85.61628,14.310829,1.8938785e-11,0.06083723
CRM,Marc Benioff,2011,44,Man,white,sad,0.0004950708,99.9995,3.9388993,6.5081015,3.5322313,34.07777,23.807722,28.135279,19.8431,0.0002686203,3.850328,0.20973438,42.270008,0.2892825,33.537273
CRM,Marc Benioff,2012,28,Man,white,sad,0.011208556,99.98879,1.7753698,4.8773403,2.6095965,59.906994,17.175133,13.655565,0.11510177,3.496466e-06,2.360207,0.58493644,53.730003,0.00028060752,43.20947
CRM,Marc Benioff,2013,41,Man,white,sad,0.0021754627,99.99783,0.26355132,0.9021719,0.18390462,73.027756,18.039494,7.583128,11.332392,0.0040473207,14.464823,0.3448068,72.39737,0.030803889,1.4257573
CRM,Marc Benioff,2014,44,Man,black,fear,0.1669332,99.83307,6.373096,6.5885863,50.97485,7.9026375,5.545651,22.61517,5.548472,0.043778956,55.16955,0.022891099,32.185932,0.09075653,6.9386234
CRM,Marc Benioff,2016,33,Man,white,angry,0.58330184,99.416695,1.9291815,0.67376673,0.22163995,71.111176,10.983942,15.080294,54.5985,0.010882807,30.425133,0.008029187,14.039229,0.005318769,0.91291595
CRM,Marc Benioff,2017,37,Man,latino hispanic,sad,0.0069030006,99.993095,14.079163,7.838573,6.434512,22.704725,11.647861,37.29517,0.17621866,0.0037014117,1.807135,0.016582802,92.066345,0.0024270352,5.9275913
CRM,Marc Benioff,2018,51,Man,white,happy,0.00020239674,99.999794,0.50967366,0.7749484,0.11324013,73.44566,14.744113,10.412368,0.017369801,2.4339406e-05,7.676301,82.213776,0.052845396,0.31751537,9.72217
CRM,Marc Benioff,2019,40,Man,white,neutral,0.0013954625,99.998604,0.32683295,0.2122702,0.03177422,84.44348,5.240887,9.744764,0.9804418,1.5810153e-07,3.6001694,0.70650506,0.33153778,0.0017296181,94.37962
INTC,Paul Otellini,2010,46,Man,white,neutral,0.17147231,99.82852,0.012273117,0.17990729,0.0040663914,83.6117,13.643931,2.548119,4.541346,0.010085005,28.762478,16.207417,10.123799,1.3982582,38.95662
INTC,Paul Otellini,2011,25,Man,white,angry,18.027975,81.97203,0.028964905,0.0049673435,0.0018002967,98.44828,1.1547283,0.36125547,99.99381,1.7679804e-07,0.0025283091,0.00013029901,0.0027624224,8.742344e-08,0.00076639437
